brand,review_count,avg_rating,avg_sentiment,positive_pct,negative_pct,avg_helpful_votes,product_count,avg_price
Whirlpool,108584,4.48,0.4213,74.19,12.03,0.41,6601,45.3
Frigidaire,68580,4.19,0.3816,70.92,15.19,1.02,3657,88.87
Ge,67653,4.3,0.3867,71.53,14.01,0.79,4269,68.2
Bluestars,46587,4.32,0.3866,70.99,14.16,0.2,586,12.77
Waterdrop,44145,4.53,0.4841,79.72,8.14,0.97,131,24.6
Lg,31736,4.29,0.3748,70.94,15.54,1.26,1557,65.82
Samsung,30632,4.13,0.3412,68.55,17.98,1.12,1963,70.87
K&j,25790,4.76,0.5428,83.50,4.29,0.15,17,17.67
Icepure,21228,4.42,0.4513,77.32,9.47,1.11,213,28.93
Pureline,19931,4.47,0.4837,79.20,8.58,0.31,56,35.73
Lifetime Appliance Parts,18678,4.42,0.4408,75.20,12.19,0.22,362,26.63
Perfect Pod,18111,4.35,0.4978,79.18,10.39,0.64,59,16.19
Ami Parts,17122,4.12,0.3627,68.92,15.85,0.3,387,19.7
Kitchen Basics 101,16414,4.25,0.4504,75.36,12.49,0.42,112,32.29
Everydrop By Whirlpool,15828,4.05,0.3091,66.07,16.48,0.88,25,50.88
Supco,15271,4.46,0.4393,76.07,11.56,0.31,443,31.86
Erp,14635,4.41,0.4283,74.67,12.25,0.3,712,26.94
Aqua Crest,14088,4.51,0.4743,79.20,8.45,1.03,111,24.7
Melitta,13468,4.47,0.4201,73.99,9.44,0.49,114,13.67
Monkemon,13238,4.16,0.3892,71.45,16.92,0.33,62,30.17
