brand,review_count,avg_sentiment,avg_rating,positive_pct,negative_pct
Kuissential,759,0.7397,4.67,93.28,4.22
Doppelgänger Goods,548,0.7157,4.84,93.07,3.65
Larsic,1785,0.6886,4.73,91.65,3.64
Coffeesock,785,0.6387,4.5,88.66,6.37
Yitelle,743,0.6363,4.43,88.56,7.27
Finum,1765,0.6361,4.71,89.18,6.69
E-prance,717,0.6326,4.48,87.87,6.83
Babypop!,4115,0.623,4.7,88.31,6.15
Corretto,525,0.6183,4.64,89.33,6.10
Kitchen Bath Collection,864,0.6118,4.21,84.84,11.34
Satur Coffee,1448,0.6001,4.75,86.67,3.18
Ecozy,605,0.5983,4.43,83.97,10.91
Able Brewing Equipment Inc,639,0.5982,4.54,86.85,7.36
Primula,1742,0.5975,4.48,85.88,7.69
Novete,853,0.5962,4.24,83.82,12.66
Aeropress,4616,0.5869,4.67,83.90,6.07
Slimm Filter,1179,0.5844,4.44,84.73,8.74
Bellemain,570,0.5831,4.5,84.04,6.49
Magvent,559,0.5767,4.58,84.62,8.05
Oyrlize,537,0.5754,4.22,82.68,9.68
X-chef,1333,0.5748,4.71,85.45,2.85
Cosmo,6954,0.5686,4.15,82.89,11.79
Iktch,780,0.5681,4.16,80.51,13.08
Gold Lion Gear,1203,0.5672,4.71,83.79,5.07
Barista Warrior,1072,0.5654,4.21,83.49,11.47
Appliance Art,558,0.5634,4.3,80.82,8.96
77l,541,0.5581,4.69,84.10,8.13
Capparis,4076,0.5573,4.53,83.12,7.21
Ulit,1698,0.5573,4.41,82.98,9.78
Fellow,650,0.5554,4.13,82.92,12.92
The Laundry Alternative,3053,0.5525,4.13,81.00,12.87
Altura,1882,0.5504,4.3,83.63,10.26
Willow & Everett,1071,0.5477,3.89,81.23,12.79
Ifjf,578,0.5454,4.82,84.78,5.19
Eap Exact Appliance Parts,944,0.544,4.66,82.94,9.64
K&j,25790,0.5428,4.76,83.50,4.29
Panda,6578,0.5424,4.2,80.78,12.80
Utopia Kitchen,577,0.5407,4.5,83.02,5.55
Oline,697,0.5405,4.29,81.06,10.90
Lhs,760,0.5405,4.13,79.21,11.58
Hauslane,1363,0.5362,4.17,81.44,14.31
Linsnfield,518,0.5334,4.31,81.08,11.97
Cimkiz,3818,0.5289,4.79,82.79,7.75
Mdesign,750,0.5282,4.55,83.33,7.20
Goodcups,10572,0.5281,4.44,81.49,8.46
Jiffy Steamer,913,0.5267,4.12,80.94,12.60
Ezbasics,653,0.5261,4.19,79.48,11.33
Cilio,545,0.5242,4.12,78.90,14.31
Comfee',3571,0.524,4.03,78.24,15.40
Sheskind,1002,0.5237,4.58,81.84,5.29
Linda's Essentials,8555,0.5228,4.49,80.95,8.43
Adorever,602,0.5227,4.66,80.73,3.82
Hershuing,1059,0.5209,4.59,78.85,6.70
Ez-cup,841,0.5205,4.52,81.33,9.51
Indoor Lint Trap Filter,588,0.5202,4.48,83.16,10.71
Spare Essentials,864,0.5189,4.48,81.25,7.64
Farberware,1029,0.5163,3.94,77.55,18.56
E Euhomy,8515,0.5161,4.33,80.16,11.23
Nictemaw,3248,0.5155,4.34,80.70,10.01
Delibru,7562,0.515,4.37,79.89,10.25
Longads,1909,0.5144,4.54,79.62,8.85
Winflo,711,0.5117,4.13,78.90,12.52
Firstbuild,1936,0.5116,3.65,79.80,17.20
Yolink,615,0.5115,4.51,79.02,12.36
Di Oro Caffè,2674,0.5094,4.21,79.36,11.67
Seal Pod,677,0.5074,4.08,77.40,12.56
Prime Home Direct,627,0.5071,4.34,80.06,10.21
Teccpo,514,0.5067,4.42,79.57,10.31
Cavaliere,908,0.5053,3.97,78.96,16.19
Volecy,536,0.5038,4.65,76.68,5.60
Bettervent,2281,0.503,4.45,81.10,9.47
Ougar8,4556,0.5029,4.56,79.15,6.43
Merax,881,0.502,4.1,77.75,14.19
Levoshua,529,0.5008,4.64,78.83,11.53
Heartland,1073,0.4979,4.54,80.89,11.09
Homelabs,4796,0.4978,4.14,78.21,13.87
Perfect Pod,18111,0.4978,4.35,79.18,10.39
Thereye,750,0.4976,3.85,78.27,16.53
Zenstyle,519,0.4968,4.17,76.11,12.33
Party Bargains,2361,0.4965,4.49,80.09,8.89
Clearwater Filters,772,0.4953,4.81,81.35,4.53
Geengle,1139,0.4949,4.8,81.74,6.85
Update International,2421,0.4944,4.45,81.16,5.91
My-cap,1611,0.4939,3.97,77.47,13.47
Gorilla Grip,512,0.4922,4.32,78.91,9.38
Solofill,1508,0.4915,4.28,79.18,11.80
Ecobluelife,577,0.4915,4.41,81.98,9.01
Auertech,1131,0.4908,4.11,75.77,14.94
Golden Vantage,671,0.4902,3.8,77.94,16.69
Waterspecialist,9135,0.4901,4.58,80.05,7.30
Filterlogic,8969,0.4895,4.59,79.59,6.98
Ekobrew,4832,0.488,4.02,77.61,15.05
Fill N Save,1431,0.4878,4.18,78.55,10.20
Firebird,527,0.4856,3.95,77.61,15.37
Canfly,1672,0.4854,4.33,79.25,9.99
Waterfall Filter,7070,0.4854,4.31,80.75,10.55
Deco Gear,508,0.4854,4.18,78.94,12.01
Coffeeduck,785,0.4851,3.75,77.71,16.82
Giantex,8304,0.4842,4.02,75.70,15.80
Waterdrop,44145,0.4841,4.53,79.72,8.14
Pureline,19931,0.4837,4.47,79.20,8.58
Aqua Blue,710,0.4837,4.56,78.45,7.04
Ipartsplusmore,736,0.4823,4.43,78.26,6.93
Broan-nutone,12021,0.4808,4.3,78.45,10.33
Toddy,520,0.4795,4.55,78.27,5.77
Broan,4154,0.4789,4.46,78.74,9.82
Sealegend,1259,0.4786,4.26,77.60,13.98
Brew Addicts,1167,0.4785,4.46,78.83,10.54
Psler,704,0.4775,4.38,78.84,10.65
Geesta,4219,0.477,4.41,77.29,8.60
Xmcosocs,580,0.4761,4.47,77.59,10.00
Yeosen,2137,0.4757,4.05,77.21,14.46
Waterwater Filters?,548,0.4754,4.45,79.93,8.76
Ecoaqua,9589,0.475,4.42,80.23,8.93
Crownful,4140,0.475,4.1,77.17,13.96
Aqua Crest,14088,0.4743,4.51,79.20,8.45
Boxlegend,679,0.4742,4.06,77.17,12.37
Totally Kitchen,658,0.4734,4.21,77.36,10.03
Vremi,1352,0.4729,4.13,77.66,13.91
Ciarra,664,0.4724,4.22,73.34,14.46
