subcategory,review_count,avg_rating,avg_sentiment,positive_pct,negative_pct,product_count,avg_price
Water Filters,308408,4.37,0.4341,75.80,10.59,5343,33.31
Replacement Parts,243115,4.33,0.3869,70.85,14.14,11495,26.82
Reusable Filters,176268,4.13,0.4677,76.25,13.09,2600,19.49
Ice Makers,126699,3.86,0.4047,71.91,18.10,2720,161.58
Parts & Accessories,123348,4.38,0.4004,72.27,13.27,13882,39.52
Disposable Filters,113786,4.5,0.4623,77.04,8.40,1325,15.96
Accessories,87598,4.11,0.4161,72.60,13.72,2542,25.19
Portable Washers,49901,3.87,0.4543,73.31,17.38,1171,165.61
Washer Parts & Accessories,41802,4.36,0.3817,70.98,14.63,2760,33.08
Vents,34076,4.05,0.374,70.52,15.82,816,27.86
Baskets,31428,4.3,0.4329,75.32,14.58,954,33.18
Range Hoods,30590,4.1,0.5148,79.55,13.39,1678,312.57
Drain Pumps,29963,4.39,0.4055,73.02,14.30,1405,38.58
Drip Pans,26508,4.16,0.4573,75.60,12.48,515,20.7
Knobs,26279,3.9,0.3677,68.66,17.77,1809,21.54
Unknown,22878,3.96,0.3844,70.75,16.26,2572,69.97
Egg Trays,20989,4.22,0.4648,75.95,13.01,1060,17.51
Replacement Wicks,20617,4.12,0.3797,70.99,11.88,983,21.81
Bins,20570,4.43,0.4514,76.34,11.95,842,41.99
Refrigerators,19069,3.63,0.3045,65.23,24.05,1707,234.74
