year,review_count,avg_rating,avg_sentiment,positive_pct,verified_pct
2010,2372,4.06,0.5244,81.07,81.83
2011,5490,4.05,0.5099,80.55,82.53
2012,11623,4.11,0.5032,80.48,86.54
2013,34143,4.24,0.4946,80.19,92.43
2014,61414,4.32,0.4619,77.67,89.56
2015,98324,4.35,0.4394,75.78,95.75
2016,125553,4.35,0.4532,76.67,94.97
2017,142184,4.33,0.449,76.33,95.97
2018,161755,4.29,0.4387,75.33,96.89
2019,231818,4.37,0.4332,74.68,97.70
2020,284016,4.25,0.4226,73.50,97.86
2021,317676,4.17,0.409,72.33,97.55
2022,278016,4.02,0.3786,69.59,95.23
2023,116622,3.99,0.3794,69.31,92.54
