parent_asin,pagerank_score,pagerank_normalized,title,brand,subcategory,main_category,price,average_rating,rating_number,image_url
B0CFMQLYHG,648.7072188902782,1.0,hOmeLabs Chill Pill Countertop Ice Maker - Perfect Ice in 8 to 10 Minutes - 26 Pounds Per Day Production To Keep You Iced Out Of Your Mind,Homelabs,Ice Makers,,,4.4,7137,https://m.media-amazon.com/images/I/81y-YfuP81L._SL1500_.jpg
B0CDGZZPSY,467.0995539829673,0.719862,"Waterdrop 4396508 Replacement for Whirlpool® 4396510, EDR5RXD1, NLC240V, PNL240V, 4396508p, 4396547, 4392857, 9010, LC400V, WF-NLC240V, 46-9010, Everydrop® Filter 5 Refrigerator Water Filter, 2 PACK",Waterdrop,Water Filters,Appliances,21.69,4.7,7612,https://m.media-amazon.com/images/I/61vgSx6UjAL._AC_SL1500_.jpg
B0C9DPRT35,444.35059074221823,0.68477,"Waterdrop WF1CB Replacement for Frigidaire PureSource WFCB, RG100, NGRG2000, WF284, 9910, 469906, 469910, Refrigerator Water Filter, 3 Filters",Waterdrop,Water Filters,Appliances,18.99,4.7,4893,https://m.media-amazon.com/images/I/61VGX+QlQtL._AC_SL1000_.jpg
B0CB3RT8ZV,438.2579935379193,0.675372,"AQUA CREST DW2042FR-09 Refrigerator Water Filter, Replacement for Daewoo DW2042FR, Kenmore 46-9130, DW2042FR-09, Aqua Crystal DW2042F-09, FRN-Y22D2V, FRN-Y22D2W",Aqua Crest,Water Filters,,15.99,4.7,1268,https://m.media-amazon.com/images/I/61EOG51BXCL._AC_SL1500_.jpg
B0C7GKM91B,359.21298082529177,0.553441,"EcoAqua EFF-6027A Replacement Filter, Compatible with Samsung DA29-00020B, DA29-00020A, HAF-CIN/EXP, 46-9101 Refrigerator Water Filter",Ecoaqua,Water Filters,Tools & Home Improvement,11.09,4.7,6382,https://m.media-amazon.com/images/I/71TXQ0N6LdL._AC_SL1500_.jpg
B0C7ZFZ7W7,306.27332572957926,0.471779,"Hamilton Beach Permanent Gold Tone Filter, Fits Most 8 to 12-Cup Coffee Makers (/80675 )",Hamilton Beach,Permanent Filters,Amazon Home,7.49,4.5,7543,https://m.media-amazon.com/images/I/71q40KzJ6kL._AC_SL1500_.jpg
B0C5PR3NWJ,304.25387887739083,0.468664,"Waterdrop MWF Water Filter for GE® Refrigerators, Replacement for GE® MWF, SmartWater® MWFP, MWFA, GWF, HDX FMG-1, WFC1201, RWF1060, 197D6321P006, Kenmore® 9991, GSE25GSHECSS, 3 Filters",Waterdrop,Water Filters,Tools & Home Improvement,33.29,4.7,20890,https://m.media-amazon.com/images/I/61KSbhz-S9L._AC_SL1500_.jpg
B0C7TRJCL4,299.2138016646257,0.46089,"Waterdrop UKF8001 Refrigerator Water Filter 4, Compatible with Whirlpool EDR4RXD1, EveryDrop Filter 4, Maytag UKF8001AXX-750, UKF8001AXX-200, 46-9006, Puriclean II, WF-UKF8001, 4 Filters",Waterdrop,Water Filters,Tools & Home Improvement,34.99,4.7,5025,https://m.media-amazon.com/images/I/71d27IR4rPL._AC_SL1500_.jpg
B0C9TTZW3K,291.47381709215324,0.44895,GE Profile Opal 2.0 | Countertop Nugget Ice Maker with Side Tank | Ice Machine with WiFi Connectivity | Smart Home Kitchen Essentials | Black Stainless,Ge Profile,Ice Makers,Appliances,599.0,4.3,2749,https://m.media-amazon.com/images/I/81bxE1Cy7TL._AC_SL1500_.jpg
B0CBSGSG5H,280.13341709623745,0.431457,"SAMSUNG DC97-14486A Heater Duct Assembly for Dryer, METAL",Samsung,Replacement Parts,Appliances,137.02,4.1,1186,https://m.media-amazon.com/images/I/71-GFbeTD9L._AC_SL1500_.jpg
B0C7CC35KH,271.5610035795907,0.418234,"Waterdrop DA29-00020B Replacement for Samsung Water Filter HAF-CIN/EXP, DA29-00020B, HAF-CIN, DA29-00020B-1, RF28HMEDBSR, RF263BEAESR, RS25J500DSR, RF263TEAESG, HDX FMS-2, DA97-08006A-1, 1 Filter",Waterdrop,Water Filters,Tools & Home Improvement,16.99,4.7,8352,https://m.media-amazon.com/images/I/51EsynQJKFL._AC_SL1500_.jpg
