brand,recommendation_count,recommendation_pct,avg_final_score,avg_als_score,avg_pagerank_score,unique_products,unique_users
Whirlpool,1954491,14.95,0.3342,0.4774,2.0E-4,4775,1171258
Ge,921371,7.05,0.3283,0.469,1.0E-4,2947,708618
Barista Improving Taste,818923,6.27,0.3548,0.5068,0.0,1,818923
Firegas,708600,5.42,0.3548,0.5068,3.0E-4,13,708588
Frigidaire,673531,5.15,0.3259,0.4655,1.0E-4,2510,562229
Partsbroz,424350,3.25,0.3495,0.4991,4.0E-4,454,419971
B&cecom Llc,369640,2.83,0.3531,0.5044,0.0,14,360557
Phavn,338600,2.59,0.353,0.5043,0.0,2,338600
Mouske,318570,2.44,0.3475,0.4962,5.0E-4,1,318570
Lg,207420,1.59,0.3125,0.4464,2.0E-4,1042,190035
Kenmore,204309,1.56,0.3368,0.4811,0.0,286,202244
Supplying Demand,188829,1.44,0.3128,0.4467,5.0E-4,844,177445
Crzoe,176095,1.35,0.3496,0.4993,2.0E-4,3,176095
Everpure,151165,1.16,0.3404,0.4862,3.0E-4,3,151165
Azh,149981,1.15,0.3481,0.4972,1.0E-4,17,149442
Exact Replacement Parts,148103,1.13,0.3434,0.4906,1.0E-4,3,148094
Inglis,147962,1.13,0.3456,0.4937,0.0,2,147962
Samsung,143994,1.10,0.3003,0.4289,2.0E-4,1255,131938
Threadnanny,109523,0.84,0.3456,0.4936,1.0E-4,3,109523
Spartshome,108077,0.83,0.3359,0.4798,3.0E-4,37,106779
Fairyaqua,97926,0.75,0.3441,0.4915,3.0E-4,1,97926
Supco,85815,0.66,0.3222,0.4602,1.0E-4,328,85032
Upstart Components,85698,0.66,0.2866,0.4093,2.0E-4,933,81769
Ansoon,77049,0.59,0.339,0.4842,2.0E-4,52,76553
Vent Systems,75314,0.58,0.3277,0.4682,1.0E-4,22,75139
Btrsolus,74487,0.57,0.3356,0.4793,2.0E-4,2,74487
Ubenkaku,71056,0.54,0.36,0.5133,0.0024,4,70848
Upstart Battery,64832,0.50,0.2606,0.3723,0.0,1106,60021
Bosch,64307,0.49,0.3198,0.4568,2.0E-4,266,63503
Washer,62020,0.47,0.3404,0.4863,0.0,8,62019
What's Up?,61366,0.47,0.3509,0.5012,1.0E-4,48,61267
Erp,56299,0.43,0.3054,0.4362,3.0E-4,529,55265
Grete Gotye,50206,0.38,0.3204,0.4568,0.0021,56,49230
Climatek,49602,0.38,0.3014,0.4305,3.0E-4,181,48739
Electrolux,46052,0.35,0.3121,0.4459,1.0E-4,261,43195
Compatify,44110,0.34,0.35,0.4999,4.0E-4,10,44110
Titiskin,42933,0.33,0.3195,0.4564,0.0,26,42884
Evertechpro,42257,0.32,0.3137,0.4477,0.0011,179,42062
Prime&swift,40542,0.31,0.3189,0.4553,6.0E-4,180,40247
Atma Supply,39235,0.30,0.3143,0.4487,7.0E-4,95,38043
Hth Hthomeprod,37716,0.29,0.3241,0.4629,1.0E-4,6,37716
Kitchenaid,37647,0.29,0.3229,0.4613,1.0E-4,113,37623
Seentech,37080,0.28,0.3099,0.4423,8.0E-4,141,36956
Edgewater Parts,36968,0.28,0.2801,0.4,2.0E-4,449,35644
Linkez,36890,0.28,0.3465,0.4947,8.0E-4,89,36663
Unknown,35662,0.27,0.2918,0.4168,0.0,384,35062
Bluestars,34648,0.27,0.3135,0.446,0.0043,438,33469
Hqrp,34283,0.26,0.307,0.4385,1.0E-4,246,33708
Ami Parts,32318,0.25,0.3075,0.4386,0.0015,293,32146
Air Filter Factory,32025,0.25,0.3331,0.4757,6.0E-4,124,31912
