subcategory,recommendation_count,recommendation_pct,avg_final_score,avg_pagerank_score,unique_products,unique_users
Replacement Parts,2873171,21.98,0.3346,3.0E-4,8236,1224255
Parts & Accessories,2683166,20.53,0.3218,1.0E-4,9855,1198002
Reusable Filters,1016967,7.78,0.3454,4.0E-4,1790,909816
Range Hoods,833197,6.37,0.3476,3.0E-4,1178,782784
Ice Makers,684131,5.23,0.3413,5.0E-4,1878,599868
Washer Parts & Accessories,547541,4.19,0.3218,3.0E-4,1992,464420
Water Filters,487193,3.73,0.3103,0.001,3781,407266
Egg Trays,383616,2.93,0.3382,7.0E-4,800,372158
Cooktop Parts & Accessories,320554,2.45,0.3192,2.0E-4,895,284590
Shelves,227848,1.74,0.3324,3.0E-4,722,217650
Bins,200852,1.54,0.3305,2.0E-4,640,196842
Drip Pans,192397,1.47,0.3405,2.0E-4,378,190201
Dishwasher Parts & Accessories,187497,1.43,0.3153,4.0E-4,631,175161
Oven Parts & Accessories,161955,1.24,0.3319,2.0E-4,394,157579
Unknown,152479,1.17,0.29,2.0E-4,1721,143048
Motors,147303,1.13,0.319,8.0E-4,687,143250
Refrigerators,136079,1.04,0.3166,5.0E-4,913,133535
Accessories,119037,0.91,0.2929,7.0E-4,1707,110095
Hoses,118698,0.91,0.3078,0.0023,843,115127
Vents,118354,0.91,0.3151,5.0E-4,558,111793
Milk Frothing Pitchers,117535,0.90,0.3335,0.0018,490,113014
Drain Pumps,114864,0.88,0.2983,6.0E-4,1057,105121
Disposable Filters,104321,0.80,0.3022,0.0014,972,96998
Knobs,104230,0.80,0.3011,3.0E-4,1263,97351
Refrigerator Parts & Accessories,85478,0.65,0.3023,3.0E-4,611,82780
Handles,76819,0.59,0.2863,4.0E-4,853,67654
Baskets,73040,0.56,0.3016,8.0E-4,688,69674
Doors,72249,0.55,0.2997,0.001,603,68369
Replacement Wicks,66449,0.51,0.3062,3.0E-4,687,63438
Burners,56434,0.43,0.317,4.0E-4,292,55763
Freezer Parts & Accessories,53605,0.41,0.298,6.0E-4,435,52351
Range Parts & Accessories,53595,0.41,0.3024,1.0E-4,300,53240
Filters,51514,0.39,0.316,5.0E-4,510,49960
Built-In Dishwashers,46300,0.35,0.3271,2.0E-4,122,46269
Heating Elements,39618,0.30,0.3035,2.0E-4,243,36065
Portable Washers,35993,0.28,0.2828,0.0018,688,34732
Humidifier Parts & Accessories,34918,0.27,0.2902,1.0E-4,366,34448
Upright Freezers,30413,0.23,0.3077,2.0E-4,179,30337
Cooktops,30191,0.23,0.2717,9.0E-4,723,29248
Lint Screens,23438,0.18,0.2967,7.0E-4,258,22839
Dryer Parts & Accessories,20513,0.16,0.3331,8.0E-4,81,20480
Beverage Refrigerators,19398,0.15,0.2846,0.0013,282,19287
Fasteners,19280,0.15,0.3149,1.0E-4,106,19231
Chest Freezers,14646,0.11,0.2804,5.0E-4,183,14345
Freestanding Ranges,11040,0.08,0.2732,1.0E-4,302,10931
Washers,9782,0.07,0.3514,1.0E-4,141,9739
Burner Rings,8371,0.06,0.308,5.0E-4,53,8310
Humidity Meters,7830,0.06,0.269,4.0E-4,239,7485
Dryers,7090,0.05,0.2709,5.0E-4,158,7077
Bag Sealers,6844,0.05,0.2634,0.0012,119,6544
